LINK GFORMS TO KELAS 9 MTS PERSIS 1 KOTA BOGOR

SKI		- https://forms.gle/8d79evuDKhTMsyAJ6
Akidah		- https://forms.gle/oMEawRHbZgKV5j4k9
B.Sunda		- https://forms.gle/kZLSM1n7ZzSf5DNz5
B.Indonesia 	- https://forms.gle/pqBpsatjYfMdzKaVA
SBK		- https://forms.gle/GCWKojjjeGTfixKx7
IPA		- https://forms.gle/ZPwNHNLrrobC9vN2A
shorof		- https://docs.google.com/forms/d/e/1FAIpQLSebW6pzEMmlUNAregL17vfrNs8ZRH1RyrxOIgkxcBn2_dMSCw/viewform?usp=header
B.Arab		- https://docs.google.com/forms/d/e/1FAIpQLSde7achLoU1KD0r_rDR3A-rjBaMH8VUHkXUAAnIU47QH2OXNA/viewform?usp=header
PJOK		- https://forms.gle/1oDH4S7ukoX7vPe26
Bulughul Marom	- https://docs.google.com/forms/d/e/1FAIpQLSc7t0k2nCR-amAtOpGVB9bssKTqG9Tm8FvIhT4ymd6QAxA2bA/viewform?usp=header
Mtk		- https://docs.google.com/forms/d/e/1FAIpQLSflpzGDxv8b6o-zq5Fzu4MV4tYL5TKYj88InTPul4ZZOM2Sng/viewform?usp=header
PKN		- https://docs.google.com/forms/d/e/1FAIpQLSdVFtxcwbsZThndzbMo7oX52TPp7b_I4au3WXQ9jw5TWuoh0A/viewform?usp=header
IPS		- https://docs.google.com/forms/d/e/1FAIpQLSfzb34QNZluM_mwCl9j_ecx06gTCi50M74_8m5Rx6Uu_VQA8g/viewform?usp=header
